date,price
2005- 03- 14,"1,000.80"
2005- 03- 15,"1,003.90"
2005- 03- 16,"1,003.80"
2005- 03- 17,"1,000.85"
2005- 03- 18,"1,004.50"
2005- 03- 21,"1,009.50"
2005- 03- 22,"1,009.60"
2005- 03- 23,"1,012.50"
2005- 03- 24,"1,013.50"
2005- 03- 25,"1,014.30"
2005- 03- 28,"1,018.50"
2005- 03- 29,"1,024.50"
2005- 03- 30,"1,024.50"
2005- 03- 31,"1,017.50"
2005- 04- 01,"1,012.50"
2005- 04- 04,"1,017.50"
2005- 04- 05,"1,017.50"
2005- 04- 06,"1,016.50"
2005- 04- 07,"1,012.50"
2005- 04- 08,"1,013.50"
2005- 04- 11,"1,013.50"
2005- 04- 12,"1,015.50"
2005- 04- 13,"1,011.50"
2005- 04- 14,"1,018.50"
2005- 04- 15,"1,018.00"
2005- 04- 18,"1,017.50"
2005- 04- 19,"1,010.50"
2005- 04- 20,"1,005.50"
2005- 04- 21,"1,008.50"
2005- 04- 22,"1,000.50"
2005- 04- 25,999.00
2005- 04- 26,998.80
2005- 04- 27,"1,001.50"
2005- 04- 28,"1,002.50"
2005- 04- 29,997.10
2005- 05- 02,"1,001.50"
2005- 05- 03,"1,002.50"
2005- 05- 04,995.50
2005- 05- 05,999.70
2005- 05- 06,"1,002.50"
2005- 05- 09,"1,001.50"
2005- 05- 10,999.25
2005- 05- 11,997.50
2005- 05- 12,999.25
2005- 05- 13,"1,005.50"
2005- 05- 16,"1,007.50"
2005- 05- 17,999.25
2005- 05- 18,999.50
2005- 05- 19,"1,004.50"
2005- 05- 20,"1,008.50"
2005- 05- 23,"1,004.50"
2005- 05- 24,996.50
2005- 05- 25,"1,001.50"
2005- 05- 26,"1,001.50"
2005- 05- 27,"1,000.50"
2005- 05- 30,"1,002.55"
2005- 05- 31,"1,007.50"
2005- 06- 01,"1,015.50"
2005- 06- 02,"1,013.50"
2005- 06- 03,"1,008.50"
2005- 06- 06,"1,005.50"
2005- 06- 07,"1,004.50"
2005- 06- 08,"1,006.50"
2005- 06- 09,"1,003.50"
2005- 06- 10,"1,008.50"
2005- 06- 13,"1,017.50"
2005- 06- 14,"1,015.50"
2005- 06- 15,"1,013.50"
2005- 06- 16,"1,014.50"
2005- 06- 17,"1,009.50"
2005- 06- 20,"1,010.50"
2005- 06- 21,"1,008.50"
2005- 06- 22,"1,010.50"
2005- 06- 23,"1,010.55"
2005- 06- 24,"1,013.50"
2005- 06- 27,"1,013.50"
2005- 06- 28,"1,023.50"
2005- 06- 29,"1,031.50"
2005- 06- 30,"1,035.50"
2005- 07- 01,"1,034.50"
2005- 07- 04,"1,043.45"
2005- 07- 05,"1,049.50"
2005- 07- 06,"1,054.50"
2005- 07- 07,"1,051.50"
