"mt10id","adres","la","lo"
"FC000389","서울특별시 종로구 대학로11길 23 (명륜4가)","37.5820799726622","127.000480025926"
"FC000833","서울특별시 종로구 대학로12길 83 (동숭동)","37.5802316","127.0040004"
"FC002633","서울특별시 종로구 대학로10길 17 (동숭동)","37.5820961","127.0031785"
"FC001099","서울특별시 종로구 대학로12길 50 (동숭동)","37.5818195","127.00370980000002"
"FC001249","서울특별시 종로구 대학로3길 10 (효제동) 고운빌딩","37.5740036","127.00164489999997"
"FC003026","서울특별시 종로구 인왕산로 172(옥인동)","37.5859537","126.9642777"
"FC001222","서울특별시 종로구 동숭동","37.5815649","127.00279160000002"
"FC003374","서울특별시 종로구 대학로12길 63(동숭동)","37.5812241","127.0040212"
"FC000528","서울특별시 종로구 동숭길 126 (동숭동)","37.5836998","127.0032999"
"FC001203","서울특별시 종로구 혜화로 35 (명륜1가)","37.5864426","127.00049820000004"
"FC000388","서울특별시 종로구 동숭길 122 (동숭동)","37.5836443","127.00366099999997"
"FC001087","서울특별시 종로구 대학로14길 29","37.5845208","127.00231510000003"
"FC001275","서울특별시 종로구 성균관로 6-5 (명륜2가)","37.5837438","126.99855639999998"
"FC000402","서울특별시 종로구 종로33길 15 (연지동)","37.571729","127.00118929999996"
"FC002174","서울특별시 종로구 성균관로 18 (명륜2가) ","37.5843973","126.9976541"
"FC001218","서울특별시 종로구 대학로10길 15 - 11","37.5822206","127.00276359999998"
"FC002760","서울특별시 종로구 대학로10길 11 (동숭동)","37.581853","127.0028053"
"FC000360","서울특별시 종로구 대학로12길 10 지하1층","37.58249970000001","127.00263310000002"
"FC001102","서울특별시 종로구 창경궁로34길 26 (명륜2가)","37.5838695","127.00105910000002"
"FC003171","서울특별시 종로구 대학로10길 12(동숭동)","37.5816149","127.0028075"
"FC002708","서울특별시 종로구 대학로8가길 30 (동숭동)","37.582294","127.0025606"
"FC003244","서울특별시 종로구 대학로14길 29(혜화동)","37.5846899","127.0022947"
"FC001923","서울특별시 종로구 대학로 104 (동숭동)","37.5804832","127.002707"
"FC001815","서울특별시 종로구 대학로8가길 30 (동숭동)","37.582253","127.00254580000001"
"FC001105","서울특별시 종로구 혜화로 4 (혜화동)","37.5862156","127.00072090000003"
"FC001206","서울특별시 종로구 대학로8가길 30 (동숭동)","37.582253","127.00254580000001"
"FC002631","서울특별시 종로구 삼일대로 428 (낙원동)","37.5727635","126.9879025"
"FC003148","서울특별시 종로구 창의문로5길 46-1(부암동)","37.5890219","126.9632892"
"FC001377","서울특별시 종로구 창의문로5가길 2 ","37.5919699","126.9634479"
"FC001260","서울특별시 종로구 이화장길 94 (동숭동)","37.5793745","127.0047194"
"FC002792","서울특별시 종로구 창신길 119 (창신동)","37.5766905","127.0100096"
"FC000227","서울특별시 종로구 혜화로 17 (명륜1가)","37.5870645","126.99977209999997"
"FC001682","서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 6층","37.5839463","127.00204540000004"
"FC001174","서울특별시 종로구 대학로10길 5 (동숭동)","37.5818197","127.00255949999996"
"FC002361","서울특별시 종로구 삼일대로17길 23 (관철동) ","37.5690724","126.9861858"
"FC001499","서울특별시 종로구 동숭동 1-47 연경빌딩 4층","37.5828996","127.00240359999998"
"FC001645","서울특별시 종로구 경희궁1가길 7 (신문로2가)","37.5720343","126.96898480000004"
"FC002682","서울특별시 종로구 계동길 52-11 (계동)","37.5797005","126.9873435"
"FC000453","서울특별시 종로구 동숭길 39 (동숭동)","37.5799517","127.00425100000007"
"FC000738","서울특별시 종로구 자하문로 242 (부암동)","37.595711","126.9640743"
"FC001814","서울특별시 종로구 이화장1길 24 (이화동) ","37.5773694","127.00575709999998"
"FC000558","서울특별시 종로구 창덕궁길 29 - 38","37.5788502465793","126.988448176969"
